Variable:,tas
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
1935,22.38,16.21,27.01,19.41,23.26,24.01,26.28,20.12,19.89,22.71,19.53,25.69
1936,22.45,16.26,27.10,19.68,23.61,24.01,26.38,20.10,19.86,23.04,19.55,25.65
1937,22.55,16.24,27.03,19.43,23.28,24.16,26.29,20.33,19.93,22.73,19.66,26.12
1938,22.39,16.22,27.01,19.40,23.25,24.01,26.30,20.11,19.94,22.69,19.54,25.69
1939,22.71,16.31,27.17,19.88,23.85,24.14,26.51,20.28,20.08,23.29,19.78,26.05
1940,22.80,16.31,27.19,19.92,23.90,24.20,26.53,20.34,20.21,23.34,19.86,26.19
1941,22.50,16.21,26.85,19.23,23.15,24.06,26.37,20.20,20.15,22.47,19.68,26.03
1942,22.39,16.12,26.64,19.05,22.97,23.98,26.27,20.12,20.15,22.20,19.62,25.96
1943,22.05,15.78,26.05,18.35,22.24,23.77,25.69,19.98,19.86,21.40,19.37,25.93
1944,22.32,15.98,26.52,18.78,22.58,23.95,25.87,20.12,20.04,21.97,19.55,26.12
1945,22.15,15.82,26.31,18.53,22.34,23.87,25.67,20.03,19.91,21.69,19.42,25.97
1946,22.36,15.93,26.72,18.88,22.60,24.14,25.87,20.36,20.06,22.12,19.61,26.05
1947,22.47,16.16,27.01,19.17,22.85,24.32,26.03,20.50,20.11,22.44,19.70,26.02
1948,22.04,15.57,26.40,18.55,22.32,23.79,25.61,19.99,19.71,21.82,19.25,25.78
1949,21.90,15.40,26.19,18.41,22.27,23.51,25.62,19.73,19.65,21.68,19.12,25.58
1950,21.91,15.50,26.43,18.61,22.44,23.48,25.64,19.65,19.54,22.00,19.08,25.46
1951,22.44,16.06,26.85,19.04,22.69,24.25,26.04,20.42,20.20,22.21,19.70,26.04
1952,22.62,16.29,27.02,19.37,23.21,24.22,26.43,20.35,20.45,22.56,19.89,26.01
1953,22.83,16.58,27.26,19.51,23.18,24.62,26.39,20.77,20.68,22.67,20.15,26.26
1954,22.79,16.59,27.30,19.62,23.27,24.59,26.27,20.73,20.53,22.74,20.08,26.18
1955,22.83,16.72,27.43,19.70,23.21,24.64,26.20,20.73,20.51,22.86,20.10,26.23
1956,22.11,15.90,26.66,18.87,22.48,23.80,25.58,19.90,19.76,22.10,19.33,25.61
1957,22.15,15.89,26.59,18.91,22.67,23.69,25.82,19.84,19.94,22.14,19.41,25.59
1958,22.52,16.29,27.00,19.30,23.05,24.13,26.24,20.28,20.30,22.52,19.77,25.91
1959,22.38,16.14,26.89,19.10,22.80,24.05,25.98,20.19,20.15,22.20,19.63,25.86
1960,22.26,16.03,26.78,19.15,22.97,23.82,26.06,19.96,20.05,22.46,19.48,25.56
1961,21.98,15.70,26.43,18.55,22.17,23.63,25.52,19.80,19.68,21.79,19.23,25.61
1962,22.03,15.72,26.51,18.78,22.48,23.63,25.57,19.77,19.60,22.15,19.21,25.59
1963,22.23,16.04,26.87,19.15,22.80,23.93,25.83,19.98,19.92,22.47,19.44,25.56
1964,21.82,15.60,26.34,18.58,22.30,23.48,25.55,19.56,19.60,21.77,19.08,25.23
1965,22.21,16.04,26.80,19.17,22.91,23.82,25.92,19.85,19.96,22.36,19.45,25.45
1966,22.31,16.08,26.88,19.21,22.87,23.92,25.90,20.04,19.98,22.50,19.53,25.68
1967,21.82,15.61,26.32,18.58,22.31,23.45,25.52,19.61,19.52,21.80,19.05,25.29
1968,21.83,15.67,26.38,18.69,22.50,23.50,25.59,19.63,19.47,21.91,19.04,25.22
1969,22.55,16.28,27.18,19.56,23.31,24.14,26.27,20.28,20.07,22.93,19.67,25.92
1970,22.48,16.21,27.01,19.27,22.96,24.05,26.16,20.26,20.16,22.54,19.67,25.97
1971,21.97,15.75,26.50,18.70,22.38,23.61,25.61,19.75,19.70,21.90,19.18,25.48
1972,22.42,16.19,26.94,19.20,22.90,24.04,26.08,20.16,20.22,22.42,19.67,25.80
1973,22.80,16.64,27.42,19.70,23.35,24.47,26.43,20.53,20.55,22.97,20.04,26.09
1974,22.16,15.94,26.71,19.01,22.78,23.72,25.90,19.86,19.87,22.30,19.36,25.55
1975,22.28,16.07,26.94,19.20,22.95,23.92,26.06,20.01,19.99,22.49,19.47,25.60
1976,22.59,16.30,27.20,19.55,23.22,24.15,26.33,20.23,20.30,22.91,19.77,25.88
1977,22.58,16.38,27.19,19.46,23.19,24.24,26.38,20.33,20.35,22.68,19.80,25.89
1978,22.61,16.42,27.23,19.58,23.36,24.21,26.47,20.30,20.32,22.85,19.80,25.89
1979,22.75,16.56,27.41,19.79,23.56,24.39,26.59,20.44,20.45,23.12,19.93,25.94
1980,23.04,16.88,27.75,20.07,23.78,24.74,26.85,20.74,20.74,23.40,20.24,26.24
1981,22.39,16.05,26.84,19.20,23.31,23.84,26.75,19.97,20.29,22.52,19.61,25.64
1982,22.53,16.28,27.01,19.41,23.36,24.07,26.71,20.18,20.40,22.69,19.75,25.76
1983,22.75,16.43,27.17,19.65,23.63,24.19,26.96,20.32,20.67,22.91,19.97,25.95
1984,22.57,16.21,27.07,19.74,23.90,23.82,27.09,19.89,20.47,23.16,19.73,25.51
1985,22.43,16.10,26.99,19.45,23.42,23.88,26.63,19.96,20.17,22.87,19.56,25.61
1986,22.62,16.33,27.05,19.62,23.72,24.01,26.95,20.12,20.46,22.94,19.81,25.77
1987,22.82,16.60,27.16,19.61,23.65,24.29,27.25,20.41,20.85,22.77,20.08,26.06
1988,22.65,16.48,27.03,19.41,23.34,24.23,26.89,20.37,20.58,22.54,19.91,25.95
1989,22.12,15.88,26.59,18.85,22.66,23.73,26.08,19.84,19.98,22.07,19.35,25.53
1990,22.71,16.42,27.20,19.64,23.65,24.21,27.07,20.35,20.58,22.94,19.90,25.90
1991,22.81,16.63,27.33,19.74,23.61,24.36,26.82,20.46,20.65,22.97,20.03,26.03
1992,22.46,16.19,26.89,19.20,22.99,24.07,26.28,20.21,20.31,22.37,19.72,25.87
1993,22.49,16.27,27.03,19.46,23.36,23.95,26.60,20.03,20.36,22.78,19.71,25.64
1994,22.58,16.37,27.14,19.49,23.30,24.15,26.51,20.26,20.42,22.77,19.81,25.81
1995,22.77,16.62,27.21,19.46,23.22,24.40,26.75,20.52,20.79,22.60,20.08,26.11
1996,22.81,16.61,27.36,19.71,23.52,24.40,26.75,20.52,20.64,22.99,20.04,26.07
1997,22.80,16.65,27.38,19.79,23.64,24.33,26.82,20.46,20.62,23.07,20.01,25.96
1998,23.05,16.91,27.68,19.98,23.77,24.75,27.01,20.84,20.80,23.27,20.27,26.29
1999,22.50,16.22,27.11,19.48,23.28,24.01,26.40,20.08,20.25,22.93,19.68,25.70
2000,22.82,16.60,27.41,19.80,23.61,24.38,26.95,20.47,20.68,23.12,20.04,25.98
2001,22.95,16.76,27.47,19.88,23.78,24.47,27.16,20.56,20.90,23.17,20.21,26.07
2002,23.40,17.21,28.00,20.40,24.22,24.98,27.60,21.05,21.36,23.68,20.64,26.45
2003,23.13,16.89,27.71,20.04,23.85,24.71,27.23,20.78,21.04,23.35,20.36,26.31
2004,23.07,16.86,27.62,19.97,23.91,24.60,27.32,20.69,21.04,23.21,20.33,26.20
2005,23.18,16.95,27.75,20.18,24.16,24.68,27.45,20.75,21.10,23.48,20.40,26.23
2006,23.09,16.86,27.61,19.96,23.87,24.62,27.26,20.77,21.06,23.20,20.35,26.27
2007,22.99,16.75,27.44,19.82,23.86,24.47,27.39,20.61,21.05,23.03,20.26,26.14
2008,22.91,16.64,27.43,19.85,23.84,24.35,27.41,20.45,20.99,23.17,20.15,25.94
2009,23.62,17.36,28.24,20.63,24.53,25.13,28.04,21.19,21.59,24.01,20.82,26.67
2010,23.35,17.17,27.99,20.47,24.49,24.67,27.73,20.70,21.38,23.91,20.60,26.18
2011,23.24,17.09,27.81,20.28,24.17,24.69,27.35,20.76,21.20,23.55,20.51,26.26
2012,23.06,16.91,27.80,20.18,23.93,24.63,26.92,20.67,20.81,23.59,20.25,26.11
2013,23.41,17.25,28.08,20.48,24.27,25.04,27.42,21.13,21.19,23.81,20.61,26.51
2014,23.17,16.95,27.73,20.07,23.92,24.76,27.10,20.88,20.99,23.33,20.41,26.41
2015,23.61,17.45,28.30,20.60,24.36,25.28,27.50,21.33,21.39,23.92,20.83,26.77
2016,23.59,17.40,28.22,20.61,24.43,25.17,27.58,21.28,21.38,23.94,20.80,26.73
2017,23.32,17.11,27.99,20.35,24.12,24.94,27.20,21.02,21.07,23.68,20.52,26.48
2018,22.94,16.82,27.68,20.00,23.76,24.52,26.92,20.54,20.79,23.49,20.17,25.97
2019,23.11,16.90,27.70,20.03,23.80,24.64,27.05,20.73,20.97,23.34,20.36,26.29
2020,22.97,16.78,27.44,19.82,23.67,24.43,26.92,20.52,20.96,23.07,20.29,26.15
